,state,city,city.new,beatY1,beatY2,beatY3,beatChange,stuckY1,stuckY2,stuckY3,stuckChange,stuck2or3,stuckY1school,stuckY2school,stuckY3school,stuckChangeschool,stuck2or3school,gain,gainsig,p20.Y1.ElemMid,p80.Y1.ElemMid,p20.enroll.Y1.ElemMid,p80.enroll.Y1.ElemMid,p20.frl.Y1.ElemMid,p80.frl.Y1.ElemMid,p20.nonfrl.Y1.ElemMid,p80.nonfrl.Y1.ElemMid,p20.white.Y1.ElemMid,p80.white.Y1.ElemMid,p20.black.Y1.ElemMid,p80.black.Y1.ElemMid,p20.hisp.Y1.ElemMid,p80.hisp.Y1.ElemMid,diff8020.Y1.ElemMid,ratio8020.Y1.ElemMid,p20.Y2.ElemMid,p80.Y2.ElemMid,p20.enroll.Y2.ElemMid,p80.enroll.Y2.ElemMid,p20.frl.Y2.ElemMid,p80.frl.Y2.ElemMid,p20.nonfrl.Y2.ElemMid,p80.nonfrl.Y2.ElemMid,p20.white.Y2.ElemMid,p80.white.Y2.ElemMid,p20.black.Y2.ElemMid,p80.black.Y2.ElemMid,p20.hisp.Y2.ElemMid,p80.hisp.Y2.ElemMid,diff8020.Y2.ElemMid,ratio8020.Y2.ElemMid,p20.Y3.ElemMid,p80.Y3.ElemMid,p20.enroll.Y3.ElemMid,p80.enroll.Y3.ElemMid,p20.frl.Y3.ElemMid,p80.frl.Y3.ElemMid,p20.nonfrl.Y3.ElemMid,p80.nonfrl.Y3.ElemMid,p20.white.Y3.ElemMid,p80.white.Y3.ElemMid,p20.black.Y3.ElemMid,p80.black.Y3.ElemMid,p20.hisp.Y3.ElemMid,p80.hisp.Y3.ElemMid,diff8020.Y3.ElemMid,ratio8020.Y3.ElemMid,p20.Y1.High,p80.Y1.High,p20.enroll.Y1.High,p80.enroll.Y1.High,p20.frl.Y1.High,p80.frl.Y1.High,p20.nonfrl.Y1.High,p80.nonfrl.Y1.High,p20.white.Y1.High,p80.white.Y1.High,p20.black.Y1.High,p80.black.Y1.High,p20.hisp.Y1.High,p80.hisp.Y1.High,diff8020.Y1.High,ratio8020.Y1.High,p20.Y2.High,p80.Y2.High,p20.enroll.Y2.High,p80.enroll.Y2.High,p20.frl.Y2.High,p80.frl.Y2.High,p20.nonfrl.Y2.High,p80.nonfrl.Y2.High,p20.white.Y2.High,p80.white.Y2.High,p20.black.Y2.High,p80.black.Y2.High,p20.hisp.Y2.High,p80.hisp.Y2.High,diff8020.Y2.High,ratio8020.Y2.High,p20.Y3.High,p80.Y3.High,p20.enroll.Y3.High,p80.enroll.Y3.High,p20.frl.Y3.High,p80.frl.Y3.High,p20.nonfrl.Y3.High,p80.nonfrl.Y3.High,p20.white.Y3.High,p80.white.Y3.High,p20.black.Y3.High,p80.black.Y3.High,p20.hisp.Y3.High,p80.hisp.Y3.High,diff8020.Y3.High,ratio8020.Y3.High
1,AZ,Chandler city,Chandler,0.17,0,0.84,394.13,0.69,0.73,0.92,32.57,0.72,5.17,6.9,5.17,0,5,-0.035,0.3542,59.6,85.8,16.56,21.56,31.17,7.46,8.93,28.93,8.51,27.18,20.06,16.28,33.34,9.59,26.2,1.44,61,88,18.3,22.26,39.66,7.55,7.41,29.77,8.32,27.51,20.97,16.01,39.56,10.63,27,1.44,58,87,18.63,24.05,39.14,9.68,8.33,31.27,8.79,28.95,20.75,16.06,39.43,12.92,29,1.5,0,80.8,3.05,37.98,6.45,28.28,1.82,41.51,2.24,39.52,4.37,40.8,4.97,27.62,80.8,Inf,0,79.6,4.41,51.44,7.88,33.91,2.65,60.38,2.46,60.48,4.73,51.72,8.16,32.85,79.6,Inf,9.6,81.8,2.16,51.44,5.38,33.91,0.52,60.38,0.8,60.48,1.43,51.72,5.1,32.85,72.2,8.52
2,AZ,Mesa city,Mesa,1.73,3.19,0.89,-48.4,2.64,2.65,1.21,-54.11,2,10.57,13.01,4.07,-61.54,7.38,-0.0303,0.2337,51.6,78.4,12.74,21.64,17.49,11.93,6.65,34.12,6.42,31.21,14.86,13.31,20.29,10.43,26.8,1.52,51,79,14.92,24.18,20.97,13.18,6.93,38.69,7.29,36.36,18.28,13.45,22.67,11.54,28,1.55,48,77,16.41,23.02,23.26,12.4,7.33,37.1,6.45,34.25,19.03,13.77,27.63,11.26,29,1.6,0,60.2,4.32,39.99,5.81,21.67,3.11,54.87,2.51,53.6,5.56,31.14,6.83,20.48,60.2,Inf,0,59.4,5.07,41.64,7.87,18.8,2.87,59.47,3.18,55.83,6.88,31.24,7.45,22.46,59.4,Inf,9,72,1.41,30.68,1.83,18.77,1.1,39.88,1.27,41.97,1.5,19.73,1.6,15.84,63,8
3,AZ,Phoenix city,Phoenix,2.05,2.88,3.31,61.52,2.05,2.49,1.73,-15.32,2.26,9.48,15.21,11.97,26.32,9.2,-0.0174,0.1662,47.4,72,16.84,21.34,19.19,9.08,12.87,42.03,5.42,50.58,23.82,13.95,21.18,8.3,24.6,1.52,46,72,16.7,21.16,17.65,10.02,14.85,42.86,5.71,49.65,26.16,14.95,20.13,9.62,26,1.57,45,71,20.56,22.12,23.1,10.63,15.64,44.37,6.33,51.07,26.1,15.25,26.04,10.52,26,1.58,0,63,6.14,32.61,7.83,12.61,4.24,55.08,2.45,63.33,6.8,24.07,8.45,14.19,63,Inf,0,61,7.59,33.11,10.75,25.11,4.34,41.35,3.84,66.1,7.95,26.82,9.59,18.31,61,Inf,0,65.6,5.89,32.64,8.16,24.14,3.55,41.35,2.38,66.02,6.95,26.15,7.58,17.55,65.6,Inf
4,AZ,Tucson city,Tucscon,6.9,6.57,2.33,-66.22,3.51,4.49,4.24,20.84,3.97,10.29,19.43,7.43,-27.78,9.89,-0.0457,0.0322,42,69.2,15.61,22.1,19.68,12.8,10.19,34.47,7.7,36.23,16.28,16.66,19.03,16.79,27.2,1.65,41,69.2,16.54,22.59,14.63,15.56,18.63,30.27,6.51,40.91,15.32,19.08,20.24,16.12,28.2,1.69,40,72,19.76,21.5,17.19,15.12,22.42,28.09,7.06,42.94,14.6,21.27,25.26,13.31,32,1.8,0,39.2,9.02,27.33,8.86,13.98,9.19,40.75,10.59,47.06,4.16,31.11,6.89,18.04,39.2,Inf,0,40,9.18,37.13,11.59,32.05,7.38,40.89,11.07,57.05,4.3,40.48,7.66,30.15,40,Inf,0,42.6,8.71,36.28,11.77,30.59,6.44,40.48,11.57,56.26,4.19,40.13,7.59,29.25,42.6,Inf
5,CA,Chula Vista city,Chula Vista,2.86,0.97,1.84,-35.66,0.72,0.73,0.97,34.85,0.68,3.39,5.08,1.69,-50,3.33,-0.0387,0.1551,0.6594,0.8,23.14,20.85,33.56,11.12,15.69,27.82,15.01,29.22,18.85,25.35,27.09,16.35,0.14,1.21,0.6254,0.8164,20.27,22.76,22.39,11.99,19.81,25.08,13.74,32.82,21.42,29.02,22.83,17.26,0.19,1.31,0.6198,0.8078,17.99,25.61,23.58,11.29,13.24,37.76,11.02,39.3,13.51,29.34,21.67,18.55,0.19,1.3,0.348,0.7912,4.43,37.94,2.5,34.24,5.77,40.5,3.1,47.13,5.59,38.56,5.28,35.65,0.44,2.27,0.378,0.7552,2.77,37.56,11.08,35.59,1.41,37.89,1.87,59,4.17,42.07,3.28,31.19,0.38,2,0.169,0.773,2.78,30.19,4.38,20.44,1.84,35.92,3.03,37.84,3.64,45.07,3.17,24.42,0.6,4.57
6,CA,Los Angeles city,Los Angeles,8.04,3.29,5.06,-37.03,9.48,8.94,6.09,-35.82,7.56,9.04,5.83,4.23,-53.23,7.33,0.0306,2.00E-04,0.473,0.7516,25.49,15.47,26.88,10.67,23.38,22.76,6.73,47.04,36.77,12.35,28.43,8.77,0.28,1.59,0.423,0.709,23.22,16.82,21.97,14.32,24.38,19.15,7.5,54.03,41.07,13.43,23.3,11.93,0.29,1.68,0.4594,0.744,23.67,16.9,26.64,10.55,19.42,25.99,4.03,55.11,36.17,13.06,26.71,8.63,0.28,1.62,0.2902,0.6586,15.14,15.32,16.4,14.16,12.81,17.46,1.6,32.05,26.1,12.41,17.17,12.06,0.37,2.27,0.303,0.6038,14.27,29.83,12.16,27.86,15.06,30.57,2.34,67.24,16.08,17.58,16.42,25.19,0.3,1.99,0.3206,0.6596,8.14,24.55,8.5,20.84,7.63,29.68,0.52,46.79,18.02,15.84,8.68,20.78,0.34,2.06
7,CA,Oakland city,Oakland,4.79,4.9,4.03,-16.03,13.09,14.58,15.59,19.09,14.05,15.57,6.56,1.64,-89.47,15.2,-0.1466,0,0.4212,0.7758,20.71,19.04,24.78,9.31,10.94,42.41,6.51,68.42,27.35,8.78,21.65,8.02,0.35,1.84,0.339,0.7502,21.97,20.87,25.94,12.53,15.5,34.49,7.25,59.09,30.11,10.3,22.85,11.04,0.41,2.21,0.3408,0.7308,19.66,20.25,24,11.78,4.63,49.6,9.18,57.42,26.29,12.16,20.54,8.93,0.39,2.14,0.164,0.48,13.55,41.63,17.23,40.02,7.14,44.45,2.21,56.46,14.63,38.9,16.31,30.57,0.32,2.93,0.208,0.4784,11.78,26.36,12.21,23.17,11.07,31.58,1.6,59.78,17.57,26.92,13.23,19.28,0.27,2.3,0.2424,0.5862,20.87,27.09,25.23,20.16,5.53,51.49,6.74,63.78,23.24,24.81,25.76,20.25,0.34,2.42
8,CA,Sacramento city,Sacramento,7.99,14.18,5.63,-29.57,2.28,2.8,5.68,149.3,2.21,3.51,3.51,1.75,-50,3.42,-0.058,0.0044,0.429,0.683,20.81,21.23,24.85,14.78,10.71,37.35,13.2,32.61,25.13,18.34,21.91,14.69,0.25,1.59,0.449,0.6886,19.05,20.67,20.17,18.14,18.28,22.38,9.59,33.17,22.72,21.83,24.25,12.96,0.24,1.53,0.407,0.6798,20.17,20.18,24.83,14.37,7.53,35.94,10.34,28.35,25.65,20.6,21.44,13.86,0.27,1.67,0.3892,0.604,29.88,22.09,35.29,16.99,21.47,29.99,21.96,38.74,29.69,9.98,35.56,21.93,0.21,1.55,0.423,0.68,31.04,16.89,41.33,44.77,28.68,10.52,19.68,16.52,33.55,23.82,41.36,14.01,0.26,1.61,0.44,0.602,23.38,31.85,26.09,23.83,16.92,50.97,18.3,48.67,26.71,20.69,28.39,28.17,0.16,1.37
9,CA,San Diego city,San Diego,0.83,4.67,2.39,187.37,3.12,2.19,2.81,-9.75,2.01,3.91,3.56,4.63,18.18,3.5,0.0438,3.00E-04,0.4996,0.8344,19.18,20.06,28.13,6.01,6.98,39.19,5.97,41.06,26.02,5.2,29.25,6.1,0.33,1.67,0.487,0.7866,18.95,21.42,22.51,7.27,16.57,30.86,7.81,43.85,26.79,8,27.91,7.82,0.3,1.62,0.508,0.8462,20.22,21.09,30.69,5.54,5.9,42.33,6.27,42.67,31.44,7.51,30.56,6.59,0.34,1.67,0.4214,0.7386,5.4,27.66,9.48,8.97,0.95,48.03,1.07,49.69,10.65,11.49,8.78,10.17,0.32,1.75,0.462,0.804,9.21,41.25,15.06,21.81,8.14,44.77,4.97,59.43,20.12,24.1,14.05,17.58,0.34,1.74,0.415,0.82,9.26,32.6,16.02,10.01,2.43,55.43,4.13,59.15,14.93,12.63,15.11,11.61,0.4,1.98
10,CA,San Francisco city,San Francisco,8.23,5.05,4,-51.36,5.68,3.62,4.11,-27.68,4.18,14.15,9.43,0.94,-93.33,9.01,0.0669,0.001,0.4334,0.807,16.53,19.81,21.25,15.56,8.74,26.79,6.95,23.98,27.56,5.12,33.38,5.85,0.37,1.86,0.4692,0.8012,18.82,20.46,23.53,15.08,12.05,28.17,9.51,28.11,29.77,6.11,32.99,6.22,0.33,1.71,0.487,0.814,15.87,21.68,20.05,13.61,9.65,33.7,7.89,31.8,33.02,6.76,26.8,5.37,0.33,1.67,0.1524,0.68,5.97,54.57,4.84,50.87,7.46,59.47,5.75,65.57,20.01,24.88,12.04,31.74,0.53,4.46,0.2992,0.7146,6.08,44.37,6.03,39.32,6.15,50.6,1.84,56.77,18.64,21.75,15.45,26.84,0.42,2.39,0.235,0.6714,6.17,45.98,6.81,37.95,5.31,56.64,5.18,63.07,17.86,28.55,11.63,26.06,0.44,2.86
